brewery,beer_name,beer_style,availability,aby,master_style,abv
7 Clans Brewing,Bended Tree,Field Beer,Year Round,,Other,5.0
7 Clans Brewing,Blonde Ale,Golden or Blonde Ale,Year Round,,Ale,5.0
7 Clans Brewing,Hop Rooted,American-Style India Pale Ale,Year Round,,IPA,6.5
Olde Hickory Brewery,Bee Student,Specialty Honey Lager or Ale,Limited,,Ale,
Olde Hickory Brewery,Bestway IPA,American-Style India Pale Ale,Seasonal,,IPA,
Olde Hickory Brewery,Black Hearted,German-Style Schwarzbier,,,Other,
Olde Hickory Brewery,Black Raven IPA,Specialty Beer,Year Round,,Other,7.0
Olde Hickory Brewery,Brown Mountain Light,Golden or Blonde Ale,Year Round,,Ale,
Olde Hickory Brewery,Calico Jack,American-Style Imperial Stout,,,Stout,9.5
Olde Hickory Brewery,Carolus Magnus,Belgian-Style Quadrupel,,,Other,14.0
Olde Hickory Brewery,Christmas Ale,Herb and Spice Beer,Winter,,Other,5.5
Olde Hickory Brewery,Cubano Walker,American-Style Barley Wine Ale,,,Ale,10.0
Olde Hickory Brewery,Cuvée de Reinke,Belgian-Style Blonde Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Daniel Boone,American-Style Brown Ale,,,Ale,8.5
Olde Hickory Brewery,Death By Hops,Imperial or Double India Pale Ale,Year Round,,IPA,7.0
Olde Hickory Brewery,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,,Hefeweizen,4.5
Olde Hickory Brewery,Hickory Stick Stout,American-Style Stout,,,Stout,5.0
Olde Hickory Brewery,Imperial Dominance,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,10.5
Olde Hickory Brewery,Irish Walker,British-Style Barley Wine Ale,Seasonal,,Ale,7.7
Olde Hickory Brewery,Lindley Park,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Nitro Death By Hops,American-Style India Pale Ale,Limited,,IPA,7.0
Olde Hickory Brewery,Oktoberfest Lager,German-Style Märzen,Seasonal,,Other,
Olde Hickory Brewery,Olde Rabbit's Foot,British-Style Imperial Stout,,,Stout,10.13
Olde Hickory Brewery,Omega Point,American-Style Barley Wine Ale,Limited,,Ale,10.0
Olde Hickory Brewery,Peabody's Appalachian Ale,Specialty Beer,,,Other,
Olde Hickory Brewery,Piedmont Pilsner,German-Style Pilsener,Year Round,,Other,4.5
Olde Hickory Brewery,Redeemer,Imperial or Double India Pale Ale,Limited,,IPA,10.0
Olde Hickory Brewery,Ruby Lager,American-Style Premium Lager,Year Round,,Lager,4.0
Olde Hickory Brewery,Saison Revolution,French & Belgian-Style Saison,Limited,,Saison,8.5
Olde Hickory Brewery,Seven Devils,Scotch Ale,,,Ale,8.0
Olde Hickory Brewery,Southern Cross,American-Style Pilsener,Year Round,,Other,
Olde Hickory Brewery,Table Rock Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.5
Olde Hickory Brewery,The Bean,American-Style Stout,Limited,,Stout,
Olde Hickory Brewery,The Event Horizon,American-Style Imperial Stout,Limited,,Stout,8.5
Olde Hickory Brewery,Wake Up Bitter,American-Style India Pale Ale,,,IPA,7.0
Olde Hickory Brewery,Wavell Gunn,Scotch Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Weizen-Bock,South German-Style Weizenbock / Weissbock,Year Round,,Other,
Olde Hickory Brewery,Wheat Wine,American-Style Wheat Wine Ale,,,Ale,9.1
Olde Hickory Brewery,Wilson Creek E.S.B.,Extra Special Bitter,Year Round,,Other,
Olde Hickory Brewery,Bee Student,Specialty Honey Lager or Ale,Limited,,Ale,
Olde Hickory Brewery,Bestway IPA,American-Style India Pale Ale,Seasonal,,IPA,
Olde Hickory Brewery,Black Hearted,German-Style Schwarzbier,,,Other,
Olde Hickory Brewery,Black Raven IPA,Specialty Beer,Year Round,,Other,7.0
Olde Hickory Brewery,Brown Mountain Light,Golden or Blonde Ale,Year Round,,Ale,
Olde Hickory Brewery,Calico Jack,American-Style Imperial Stout,,,Stout,9.5
Olde Hickory Brewery,Carolus Magnus,Belgian-Style Quadrupel,,,Other,14.0
Olde Hickory Brewery,Christmas Ale,Herb and Spice Beer,Winter,,Other,5.5
Olde Hickory Brewery,Cubano Walker,American-Style Barley Wine Ale,,,Ale,10.0
Olde Hickory Brewery,Cuvée de Reinke,Belgian-Style Blonde Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Daniel Boone,American-Style Brown Ale,,,Ale,8.5
Olde Hickory Brewery,Death By Hops,Imperial or Double India Pale Ale,Year Round,,IPA,7.0
Olde Hickory Brewery,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,,Hefeweizen,4.5
Olde Hickory Brewery,Hickory Stick Stout,American-Style Stout,,,Stout,5.0
Olde Hickory Brewery,Imperial Dominance,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,10.5
Olde Hickory Brewery,Irish Walker,British-Style Barley Wine Ale,Seasonal,,Ale,7.7
Olde Hickory Brewery,Lindley Park,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Nitro Death By Hops,American-Style India Pale Ale,Limited,,IPA,7.0
Olde Hickory Brewery,Oktoberfest Lager,German-Style Märzen,Seasonal,,Other,
Olde Hickory Brewery,Olde Rabbit's Foot,British-Style Imperial Stout,,,Stout,10.13
Olde Hickory Brewery,Omega Point,American-Style Barley Wine Ale,Limited,,Ale,10.0
Olde Hickory Brewery,Peabody's Appalachian Ale,Specialty Beer,,,Other,
Olde Hickory Brewery,Piedmont Pilsner,German-Style Pilsener,Year Round,,Other,4.5
Olde Hickory Brewery,Redeemer,Imperial or Double India Pale Ale,Limited,,IPA,10.0
Olde Hickory Brewery,Ruby Lager,American-Style Premium Lager,Year Round,,Lager,4.0
Olde Hickory Brewery,Saison Revolution,French & Belgian-Style Saison,Limited,,Saison,8.5
Olde Hickory Brewery,Seven Devils,Scotch Ale,,,Ale,8.0
Olde Hickory Brewery,Southern Cross,American-Style Pilsener,Year Round,,Other,
Olde Hickory Brewery,Table Rock Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.5
Olde Hickory Brewery,The Bean,American-Style Stout,Limited,,Stout,
Olde Hickory Brewery,The Event Horizon,American-Style Imperial Stout,Limited,,Stout,8.5
Olde Hickory Brewery,Wake Up Bitter,American-Style India Pale Ale,,,IPA,7.0
Olde Hickory Brewery,Wavell Gunn,Scotch Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Weizen-Bock,South German-Style Weizenbock / Weissbock,Year Round,,Other,
Olde Hickory Brewery,Wheat Wine,American-Style Wheat Wine Ale,,,Ale,9.1
Olde Hickory Brewery,Wilson Creek E.S.B.,Extra Special Bitter,Year Round,,Other,
Olde Hickory Brewery,Bee Student,Specialty Honey Lager or Ale,Limited,,Ale,
Olde Hickory Brewery,Bestway IPA,American-Style India Pale Ale,Seasonal,,IPA,
Olde Hickory Brewery,Black Hearted,German-Style Schwarzbier,,,Other,
Olde Hickory Brewery,Black Raven IPA,Specialty Beer,Year Round,,Other,7.0
Olde Hickory Brewery,Brown Mountain Light,Golden or Blonde Ale,Year Round,,Ale,
Olde Hickory Brewery,Calico Jack,American-Style Imperial Stout,,,Stout,9.5
Olde Hickory Brewery,Carolus Magnus,Belgian-Style Quadrupel,,,Other,14.0
Olde Hickory Brewery,Christmas Ale,Herb and Spice Beer,Winter,,Other,5.5
Olde Hickory Brewery,Cubano Walker,American-Style Barley Wine Ale,,,Ale,10.0
Olde Hickory Brewery,Cuvée de Reinke,Belgian-Style Blonde Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Daniel Boone,American-Style Brown Ale,,,Ale,8.5
Olde Hickory Brewery,Death By Hops,Imperial or Double India Pale Ale,Year Round,,IPA,7.0
Olde Hickory Brewery,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,,Hefeweizen,4.5
Olde Hickory Brewery,Hickory Stick Stout,American-Style Stout,,,Stout,5.0
Olde Hickory Brewery,Imperial Dominance,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,10.5
Olde Hickory Brewery,Irish Walker,British-Style Barley Wine Ale,Seasonal,,Ale,7.7
Olde Hickory Brewery,Lindley Park,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Nitro Death By Hops,American-Style India Pale Ale,Limited,,IPA,7.0
Olde Hickory Brewery,Oktoberfest Lager,German-Style Märzen,Seasonal,,Other,
Olde Hickory Brewery,Olde Rabbit's Foot,British-Style Imperial Stout,,,Stout,10.13
Olde Hickory Brewery,Omega Point,American-Style Barley Wine Ale,Limited,,Ale,10.0
Olde Hickory Brewery,Peabody's Appalachian Ale,Specialty Beer,,,Other,
Olde Hickory Brewery,Piedmont Pilsner,German-Style Pilsener,Year Round,,Other,4.5
Olde Hickory Brewery,Redeemer,Imperial or Double India Pale Ale,Limited,,IPA,10.0
Olde Hickory Brewery,Ruby Lager,American-Style Premium Lager,Year Round,,Lager,4.0
Olde Hickory Brewery,Saison Revolution,French & Belgian-Style Saison,Limited,,Saison,8.5
Olde Hickory Brewery,Seven Devils,Scotch Ale,,,Ale,8.0
Olde Hickory Brewery,Southern Cross,American-Style Pilsener,Year Round,,Other,
Olde Hickory Brewery,Table Rock Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.5
Olde Hickory Brewery,The Bean,American-Style Stout,Limited,,Stout,
Olde Hickory Brewery,The Event Horizon,American-Style Imperial Stout,Limited,,Stout,8.5
Olde Hickory Brewery,Wake Up Bitter,American-Style India Pale Ale,,,IPA,7.0
Olde Hickory Brewery,Wavell Gunn,Scotch Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Weizen-Bock,South German-Style Weizenbock / Weissbock,Year Round,,Other,
Olde Hickory Brewery,Wheat Wine,American-Style Wheat Wine Ale,,,Ale,9.1
Olde Hickory Brewery,Wilson Creek E.S.B.,Extra Special Bitter,Year Round,,Other,
Andrews Brewing Company,Arrowhead Red IPA,American-Style Amber/Red Ale,,,Ale,7.2
Andrews Brewing Company,Happy Top Wheat,American-Style Wheat Beer,Year Round,,Wheat Beer,4.8
Andrews Brewing Company,Leatherwood Red,American-Style Amber/Red Ale,,,Ale,5.6
Andrews Brewing Company,Wildcat Pale Ale,American-Style Pale Ale,,,Pale Ale,6.2
Archetype Brewing Company,Commitment Phobia,Session India Pale Ale,,,IPA,5.5
Archetype Brewing Company,Cowboy Poet,American-Style Lager,,,Lager,4.8
Archetype Brewing Company,Dry Stout,Classic Irish-Style Dry Stout,,,Stout,
Archetype Brewing Company,Commitment Phobia,Session India Pale Ale,,,IPA,5.5
Archetype Brewing Company,Cowboy Poet,American-Style Lager,,,Lager,4.8
Archetype Brewing Company,Dry Stout,Classic Irish-Style Dry Stout,,,Stout,
Sierra Nevada Brewing Co.,'Murican Pilsner,American-Style Pilsener,,,Other,5.5
Sierra Nevada Brewing Co.,11.5° PLATO,Session India Pale Ale,,,IPA,4.5
Sierra Nevada Brewing Co.,2 x 4,Other Belgian-Style Ales,,,Other,8.7
Sierra Nevada Brewing Co.,20th Street Ale Citra,Specialty Beer,,,Other,7.3
Sierra Nevada Brewing Co.,20th Street Ale Crystal,Specialty Beer,,,Other,7.3
Sierra Nevada Brewing Co.,20th Street Ale Magnum,Specialty Beer,,,Other,7.3
Sierra Nevada Brewing Co.,3 Weight,Session India Pale Ale,,,IPA,4.0
Sierra Nevada Brewing Co.,30th Anniversary - Grand Cru,Other Strong Ale or Lager,,,Lager,9.2
Sierra Nevada Brewing Co.,35th Anniversary  - Brewer's Reserve,Strong Ale,,,Ale,8.0
Sierra Nevada Brewing Co.,40th Hoppy Anniversary Ale,American-Style India Pale Ale,Seasonal,,IPA,6.0
Sierra Nevada Brewing Co.,ABLE Best Britter,Special Bitter or Best Bitter,Limited,,Other,4.3
Sierra Nevada Brewing Co.,Ale 20,American-Style Pale Ale,,,Pale Ale,5.7
Sierra Nevada Brewing Co.,Alt Route - Beer Camp Across America,German-Style Altbier,Limited,,Other,6.6
Sierra Nevada Brewing Co.,Anniversary Ale,American-Style India Pale Ale,,,IPA,5.9
Sierra Nevada Brewing Co.,Anniversary Ale,American-Style India Pale Ale,Limited,,IPA,5.9
Sierra Nevada Brewing Co.,Anniversary Ale,American-Style India Pale Ale,,,IPA,5.9
Sierra Nevada Brewing Co.,Audition - Altbier,German-Style Altbier,,,Other,6.6
Sierra Nevada Brewing Co.,Audition - Belgian-Style Blonde,Belgian-Style Blonde Ale,,,Ale,6.3
Sierra Nevada Brewing Co.,Audition - Belgian-Style Pale Ale,Belgian-Style Pale Ale,,,Pale Ale,5.3
Sierra Nevada Brewing Co.,Audition - Dark Ale,American-Belgo-Style Ale,,,Ale,8.5
Sierra Nevada Brewing Co.,Audition - Double IPA,Imperial or Double India Pale Ale,,,IPA,8.5
Sierra Nevada Brewing Co.,Audition - English-Style Bitter,Ordinary Bitter,,,Other,5.6
Sierra Nevada Brewing Co.,Audition - Imperial Pilsner,American-Style Pilsener,,,Other,8.0
Sierra Nevada Brewing Co.,Audition - Pale Ale,American-Style Pale Ale,,,Pale Ale,6.5
Sierra Nevada Brewing Co.,Audition - Pilsner,American-Style Pilsener,,,Other,5.2
Sierra Nevada Brewing Co.,Audition - Rye Bock,Rye Ale or Lager with or without Yeast,,,Other,7.2
Sierra Nevada Brewing Co.,Audition - Scotch Ale,Scotch Ale,,,Ale,7.3
Sierra Nevada Brewing Co.,Bad Luck Blonde,Golden or Blonde Ale,,,Ale,6.5
Sierra Nevada Brewing Co.,Baltic Joy,Baltic-Style Porter,,,Porter,7.4
Sierra Nevada Brewing Co.,Barrel Aged Narwhal,American-Style Imperial Stout,,,Stout,12.9
Sierra Nevada Brewing Co.,Barrel-Aged Bigfoot (Whiskey Barrels),American-Style Barley Wine Ale,Seasonal,,Ale,11.9
Sierra Nevada Brewing Co.,Barrel-Aged Hoptimum  (Trip in the Woods),American-Style India Pale Ale,,,IPA,11.5
Sierra Nevada Brewing Co.,Barrel-Aged Porter,Wood- and Barrel-Aged Beer,,,Other,7.4
Sierra Nevada Brewing Co.,Barrel-Aged Torpedo Extra IPA,American-Style India Pale Ale,,,IPA,8.5
Sierra Nevada Brewing Co.,Beer Camp,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Beer Camp 013: Old Cantankerous,Old Ale,,,Ale,6.6
Sierra Nevada Brewing Co.,Beer Camp 257,Imperial or Double India Pale Ale,Seasonal,,IPA,9.7
Sierra Nevada Brewing Co.,Beer Camp Across America,Imperial or Double India Pale Ale,Limited,,IPA,8.6
Sierra Nevada Brewing Co.,Beer Camp Golden IPA,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Beer Camp Hoppy Lager,American-Style Lager,Year Round,,Lager,7.0
Sierra Nevada Brewing Co.,Beer Camp Tropical IPA,American-Style India Pale Ale,Limited,,IPA,6.7
Sierra Nevada Brewing Co.,Beer Camp: Campout Porter,Brown Porter,Limited,,Porter,7.7
Sierra Nevada Brewing Co.,Beer Camp: Dunkle Weisse,South German-Style Dunkel Weizen / Dunkel Weissbier,Limited,,Other,5.7
Sierra Nevada Brewing Co.,Beer Camp: East Meets West IPA,American-Style India Pale Ale,Limited,,IPA,7.0
Sierra Nevada Brewing Co.,Beer Camp: Ginger Lager,American-Style Lager,Limited,,Lager,6.2
Sierra Nevada Brewing Co.,Beer Camp: Raspberry Sundae Ale,Herb and Spice Beer,Limited,,Other,8.0
Sierra Nevada Brewing Co.,Beer Camp: Stout of the Union,American-Style Stout,,,Stout,7.0
Sierra Nevada Brewing Co.,Beer Camp: West Coast DIPA,Imperial or Double India Pale Ale,Limited,,IPA,8.2
Sierra Nevada Brewing Co.,Belgian Black IPA - Beer Camp #94,Belgian-Style Pale Ale,,,Pale Ale,7.7
Sierra Nevada Brewing Co.,Belgian-Style Blonde IPA,Belgian-Style Blonde Ale,,,Ale,7.5
Sierra Nevada Brewing Co.,BFD - Beer For Drinking,Golden or Blonde Ale,,,Ale,4.8
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Seasonal,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,British-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,Limited,,Ale,9.6
Sierra Nevada Brewing Co.,Bigfoot Barrel-Aged,American-Style Barley Wine Ale,,,Ale,12.2
Sierra Nevada Brewing Co.,Black Eye PA,American-Style Black Ale,,,Ale,7.5
Sierra Nevada Brewing Co.,Black IPA,American-Style India Pale Ale,,,IPA,6.9
Sierra Nevada Brewing Co.,Black Vapor,German-Style Schwarzbier,,,Other,6.0
Sierra Nevada Brewing Co.,Blantons Barrel Aged Scotch Ale,Scotch Ale,,,Ale,11.3
Sierra Nevada Brewing Co.,Blindfold,American-Style Black Ale,Limited,,Ale,7.4
Sierra Nevada Brewing Co.,Blizzicane Bock,Traditional German-Style Bock,,,Other,7.7
Sierra Nevada Brewing Co.,Blonde Ale,Golden or Blonde Ale,,,Ale,
Sierra Nevada Brewing Co.,Blood Shot,Imperial Red Ale,,,Ale,8.6
Sierra Nevada Brewing Co.,Blue Ridge Red,Irish-Style Red Ale,Limited,,Ale,6.3
Sierra Nevada Brewing Co.,Bonnaroo Brew,French & Belgian-Style Saison,,,Saison,4.8
Sierra Nevada Brewing Co.,Boomerang,American-Style India Pale Ale,,,IPA,6.7
Sierra Nevada Brewing Co.,Bosden,American-Style Stout,,,Stout,6.8
Sierra Nevada Brewing Co.,Bourbon Barrel Aged Maillard's Odyssey,American-Style Imperial Porter,,,Porter,9.3
Sierra Nevada Brewing Co.,Breakfast At Chicos,Specialty Stouts,,,Other,7.5
Sierra Nevada Brewing Co.,Broken Vow,American-Style Imperial Porter,,,Porter,
Sierra Nevada Brewing Co.,Brut IPA,American-Style India Pale Ale,,,IPA,6.2
Sierra Nevada Brewing Co.,Buffalo Trace Aged Scotch Ale,Scotch Ale,,,Ale,11.1
Sierra Nevada Brewing Co.,Cask-Aid,Specialty Beer,,,Other,5.5
Sierra Nevada Brewing Co.,Celebration Ale,"Fresh ""Wet"" Hop Ale",Seasonal,,Ale,6.8
Sierra Nevada Brewing Co.,Celebration Ale,American-Style Pale Ale,,,Pale Ale,
Sierra Nevada Brewing Co.,Celebrator Beer News,American-Style Strong Pale Ale,,,Pale Ale,9.3
Sierra Nevada Brewing Co.,Cherry Chocolate Stout,Imperial or Double India Pale Ale,Limited,,IPA,8.5
Sierra Nevada Brewing Co.,Chico King - Beer Camp Across America,American-Style Pale Ale,Limited,,Pale Ale,6.5
Sierra Nevada Brewing Co.,Chocolate Chili Stout - High Altitude Series,American-Style Imperial Stout,,,Stout,8.8
Sierra Nevada Brewing Co.,Christmas Jam,Session Beer,Seasonal,,Other,4.2
Sierra Nevada Brewing Co.,Clean Sweep,Golden or Blonde Ale,,,Ale,3.5
Sierra Nevada Brewing Co.,Coffee Stout,Specialty Stouts,,,Other,6.2
Sierra Nevada Brewing Co.,Dark Wheat,American-Style Premium Lager,,,Lager,
Sierra Nevada Brewing Co.,DevESTATEtion,American-Style Black Ale,Seasonal,,Ale,6.7
Sierra Nevada Brewing Co.,Double DeBOCKel,German-Style Doppelbock,,,Other,9.4
Sierra Nevada Brewing Co.,Draught-Style Pale Ale,American-Style Pale Ale,,,Pale Ale,5.0
Sierra Nevada Brewing Co.,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,,,Other,5.5
Sierra Nevada Brewing Co.,Dunkelweizen Bock,South German-Style Weizenbock / Weissbock,,,Other,7.2
Sierra Nevada Brewing Co.,Eagle Rare Barrel Aged Scotch Ale,Scotch Ale,,,Ale,11.3
Sierra Nevada Brewing Co.,Earth Day EPA,Extra Special Bitter,,,Other,5.2
Sierra Nevada Brewing Co.,Electric Ray,Imperial or Double India Pale Ale,,,IPA,8.5
Sierra Nevada Brewing Co.,ESB - Early Spring Beer,American-Style Pale Ale,Seasonal,,Pale Ale,5.9
Sierra Nevada Brewing Co.,Estate Ale,Specialty Beer,Limited,,Other,6.7
Sierra Nevada Brewing Co.,Experimental Hop Double IPA,Imperial or Double India Pale Ale,,,IPA,8.0
Sierra Nevada Brewing Co.,EXPERIMENTAL HOP PILSNER,American-Style Pilsener,,,Other,5.5
Sierra Nevada Brewing Co.,Experimental Hop Session IPA,Session India Pale Ale,,,IPA,4.6
Sierra Nevada Brewing Co.,Family Values,American-Style Brown Ale,,,Ale,8.5
Sierra Nevada Brewing Co.,Fantastic Haze,Imperial or Double India Pale Ale,,,IPA,9.0
Sierra Nevada Brewing Co.,Festival Bier,American-Style Märzen / Oktoberfest,,,Other,6.0
Sierra Nevada Brewing Co.,Fistful of Hops,American-Style Pale Ale,Limited,,Pale Ale,6.2
Sierra Nevada Brewing Co.,Five Hop - Experimental IPA,American-Style India Pale Ale,,,IPA,5.8
Sierra Nevada Brewing Co.,Flipside Red IPA,American-Style Amber/Red Ale,Fall,,Ale,6.2
Sierra Nevada Brewing Co.,Floral IPA - Beer Camp #53,American-Style India Pale Ale,Limited,,IPA,5.9
Sierra Nevada Brewing Co.,Foam Pilsner,American-Style Pilsener,,,Other,5.6
Sierra Nevada Brewing Co.,Fresh Hop Double IPA,Imperial or Double India Pale Ale,,,IPA,8.0
Sierra Nevada Brewing Co.,Fresh Hop IPA,American-Style India Pale Ale,,,IPA,6.4
Sierra Nevada Brewing Co.,German Style IPA,American-Style India Pale Ale,,,IPA,6.1
Sierra Nevada Brewing Co.,Glissade Golden Bock,German-Style Heller Bock/Maibock,Seasonal,,Other,6.4
Sierra Nevada Brewing Co.,Golden IPA,American-Style India Pale Ale,,,IPA,5.9
Sierra Nevada Brewing Co.,Grandma's Closet,Wood- and Barrel-Aged Beer,,,Other,7.6
Sierra Nevada Brewing Co.,GUARD de BEER,French-Style Bière de Garde,,,Other,7.0
Sierra Nevada Brewing Co.,Harvest Ale,American-Style Pale Ale,,,Pale Ale,6.7
Sierra Nevada Brewing Co.,Harvest Brewers Select IPA,American-Style India Pale Ale,,,IPA,6.6
Sierra Nevada Brewing Co.,Harvest Fresh Hop IPA - Southern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",,,Ale,6.7
Sierra Nevada Brewing Co.,Harvest Newly Developed Hop IPA,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Harvest Single Hop IPA - Equinox Hops,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Harvest Single Hop IPA - Idaho 7 Varietal,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Harvest Single Hop Mandarina Hops,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Harvest Single Hop Yakima #291,American-Style India Pale Ale,Seasonal,,IPA,6.5
Sierra Nevada Brewing Co.,Harvest Wet Hop IPA - Northern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",,,Ale,6.7
Sierra Nevada Brewing Co.,Harvest Wild Hop IPA - Neomexicanus Varietal,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Hazy Little Thing,Juicy or Hazy India Pale Ale,Year Round,,IPA,6.7
Sierra Nevada Brewing Co.,High Sierra FestivAle,Golden or Blonde Ale,,,Ale,5.2
Sierra Nevada Brewing Co.,Holiday Haze,American-Style India Pale Ale,,,IPA,6.5
Sierra Nevada Brewing Co.,Hop And Sour,American-Style Sour Ale,,,Ale,4.4
Sierra Nevada Brewing Co.,Hop Bam,Specialty Beer,,,Other,5.8
Sierra Nevada Brewing Co.,Hop Bullet IPA,Imperial or Double India Pale Ale,,,IPA,8.0
Sierra Nevada Brewing Co.,Hop Harmony,American-Style India Pale Ale,Limited,,IPA,6.7
Sierra Nevada Brewing Co.,Hop Hunter IPA,"Fresh ""Wet"" Hop Ale",Year Round,,Ale,6.2
Sierra Nevada Brewing Co.,Hop Secret 644,Specialty Beer,,,Other,7.0
Sierra Nevada Brewing Co.,Hop Smack Double,Specialty Beer,,,Other,8.1
Sierra Nevada Brewing Co.,Hoppy Wheat IPA,American-Style India Pale Ale,,,IPA,6.2
Sierra Nevada Brewing Co.,Hoptimum,Imperial or Double India Pale Ale,Limited,,IPA,10.4
Sierra Nevada Brewing Co.,Hoptimum,Imperial or Double India Pale Ale,,,IPA,9.6
Sierra Nevada Brewing Co.,Hoptinite,American-Style India Pale Ale,,,IPA,8.0
Sierra Nevada Brewing Co.,Imperial Pilsner - Beer Camp #43,American-Style Pilsener,Limited,,Other,5.6
Sierra Nevada Brewing Co.,Imperial Red Ale - Beer Camp #65,Imperial Red Ale,Limited,,Ale,8.1
Sierra Nevada Brewing Co.,India Farmhouse Ale,French & Belgian-Style Saison,,,Saison,7.4
Sierra Nevada Brewing Co.,India Pale Ale,American-Style Pale Ale,,,Pale Ale,6.8
Sierra Nevada Brewing Co.,Karaoke Fail,American-Style Pale Ale,,,Pale Ale,6.7
Sierra Nevada Brewing Co.,Kellerweis,South German-Style Hefeweizen / Hefeweissbier,Year Round,,Hefeweizen,4.8
Sierra Nevada Brewing Co.,Knightro,Classic Irish-Style Dry Stout,,,Stout,4.6
Sierra Nevada Brewing Co.,Kolsch,German-Style Kölsch / Köln-Style Kölsch,,,Other,5.0
Sierra Nevada Brewing Co.,Kölsch TEST DUMMIES,Fruit Beer,,,Other,6.4
Sierra Nevada Brewing Co.,Life and Limb,Specialty Beer,Limited,,Other,10.2
Sierra Nevada Brewing Co.,Long Steam IPA,American-Style India Pale Ale,,,IPA,5.8
Sierra Nevada Brewing Co.,Mach 25 Intergalactic Planetary Ale,Specialty Beer,Limited,,Other,5.0
Sierra Nevada Brewing Co.,Mai-nd-Bockling,German-Style Heller Bock/Maibock,,,Other,6.0
Sierra Nevada Brewing Co.,Maillard's Odyssey,Imperial Red Ale,,,Ale,8.5
