breweries,city,state,latitude,longitude,brewery_ID,brewery_type
Mad Co. Brew House,Marshall,North Carolina,35.7974112,-82.6848629,8NIrvv,Micro Brewery
Lynwood Brewing Concern,Raleigh,North Carolina,35.8704474,-78.7173494,DuLRZh,Micro Brewery
Green Man Brewery,Asheville,North Carolina,35.5886188,-82.5531836,kZAhYn,Brewpub
Bond Brothers Beer Company,Cary,North Carolina,35.7883075,-78.7777732,mEDZEd,Micro Brewery
Hayesville Brewing Co,Hayesville,North Carolina,35.039894,-83.7957094,GH37ia,Micro Brewery
The Dreamchaser's Brewery,Waxhaw,North Carolina,34.9252494,-80.7430102,SZSffk,Nano Brewery
Mill Whistle Brewing,Beaufort,North Carolina,34.7165356,-76.6490569,EFL2ud,Micro Brewery
Ghost Harbor Brewing Company,Elizabeth City,North Carolina,36.3007777,-76.2189429,Nb0pFN,Brewpub
Zillicoah Beer Co.,Woodfin,North Carolina,35.6172447,-82.5763487,nPgX4b,Tasting Room
Greenshields Brewery and Pub,Raleigh,North Carolina,35.776817,-78.635987,r01rHx,Brewpub
Oak City Brewing Company,Knightdale,North Carolina,35.7939123,-78.476717,HktnHV,Micro Brewery
Lower Left Brewing Co,Charlotte,North Carolina,35.182762,-80.8801084,GUASqL,Micro Brewery
Red Oak Brewery,Whitsett,North Carolina,36.061258,-79.56952,hNPjUO,Micro Brewery
Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina,35.9131641,-79.0557507,buCABg,Brewpub
Hillman Beer,Asheville,North Carolina,35.56508,-82.537225,fVEF0B,Micro Brewery
Pelagic Beer And Wine,Raleigh,North Carolina,35.7888592,-78.6339274,IuStnF,Micro Brewery
Blue Blaze Brewing,Charlotte,North Carolina,35.241765,-80.8672069,vEBhwg,Micro Brewery
Southern Strain Beer Company LLC,Concord,North Carolina,35.4150768,-80.5771729,R5c06p,Nano Brewery
New Hill Brewing Co.,Apex,North Carolina,35.732652,-78.8502856,Hox39c,Micro Brewery
Percent Tap House,Harrisburg,North Carolina,35.3264399,-80.6466085,3PKoGG,Nano Brewery
Avenge Brewing Co.,Charlotte,North Carolina,35.2270869,-80.8431267,9rdKFY,Micro Brewery
Bronze Star Brewery,Spout Springs,North Carolina,35.2458543,-79.0230916,u8frJ3,Micro Brewery
Dingo Dog Brewing Company,Carrboro,North Carolina,35.9101438,-79.0752895,mBM8Oz,Micro Brewery
Zebulon Artisan Ales,Weaverville,North Carolina,35.6966626,-82.5608605,pp1OW5,Micro Brewery
Hickory Nut Gorge Brewery,Chimney Rock,North Carolina,35.4402773,-82.250021,WSOfSU,Micro Brewery
Brown Truck Brewery,High Point,North Carolina,35.9714788,-80.016063,OV4wYQ,Micro Brewery
Cavendish Brewing Company,Gastonia,North Carolina,35.2657001,-81.1877502,8m7Tbv,Micro Brewery
Durty Bull Brewing Company,Durham,North Carolina,36.0011871,-78.8982994,0onkhr,Micro Brewery
Four Wagons Brewing Company,Wendell,North Carolina,35.781442,-78.370197,l5qHlM,Micro Brewery
Brewery 99,New Bern,North Carolina,35.108064,-77.040954,MMgQZl,Micro Brewery
Three Spirits Brewery,Charlotte,North Carolina,35.1716557,-80.8791142,6wKutG,Micro Brewery
Bhramari Brewhouse,Asheville,North Carolina,35.5914264,-82.5520127,d8WYrI,Micro Brewery
Sweeten Creek Brewing,Asheville,North Carolina,35.5425462,-82.5221774,c30iDf,Micro Brewery
Joymongers Brewing Co.,Greensboro,North Carolina,36.078767,-79.7936927,EMjWN6,Micro Brewery
Fainting Goat Brewing Company,Fuquay Varina,North Carolina,35.581367,-78.8000689,rlyBAA,Micro Brewery
Groundlion Brewing Co.,Seagrove,North Carolina,35.5404147,-79.7730901,qgSKWX,Micro Brewery
Southern Appalachian Brewery,Hendersonville,North Carolina,35.322374,-82.459547,hdOVRn,Micro Brewery
Ecusta Brewery and Taproom,Pisgah Forest,North Carolina,35.2737262,-82.7051634,T0B8fy,Micro Brewery
Camelback Brewing Company,Sanford,North Carolina,35.4872513,-79.1935369,5JtwpP,Micro Brewery
Mountain Layers Brewing Company,Bryson City,North Carolina,35.4287879,-83.4460677,hdckyq,Micro Brewery
Howard Brewing Company,Lenoir,North Carolina,35.91498,-81.539464,1yqdyJ,Brewpub
Little City Brewing And Provisions Co.,Raleigh,North Carolina,35.7851987,-78.6452222,JxLZ8H,Micro Brewery
Commoners Brewing Company,Concord,North Carolina,35.4597838,-80.5848531,8Qe5WH,Micro Brewery
Southern Range Craft Beer & BBQ,Monroe,North Carolina,34.9807206,-80.5510121,nEEnk1,Micro Brewery
Triangle Brewing Company,Durham,North Carolina,35.9967704,-78.8891001,ahlcqI,Micro Brewery
Edenton Brewing Company,Raleigh,North Carolina,35.809712,-78.618223,eIZS7k,Micro Brewery
4Chambers Brewing,Stallings,North Carolina,35.0907026,-80.6861799,PXxbtS,Micro Brewery
Chesapeake Bay Brewing Company,Raleigh,North Carolina,35.809712,-78.618223,GcIGHB,Micro Brewery
Jordan Lake Brewing Company,Cary,North Carolina,35.7902816,-78.7758438,1rgQ2t,Micro Brewery
Rock Creek Brewing Company,Raleigh,North Carolina,35.809712,-78.618223,sw14Qc,Micro Brewery
Habitat Tavern and Commons,Asheville,North Carolina,35.6005152,-82.5549742,eBPECK,Micro Brewery
Biltmore Brewing Company,Asheville,North Carolina,35.557734,-82.580672,cqA8ox,Office
Bold Missy Brewery,Charlotte,North Carolina,35.2492964,-80.7966386,GV82Ll,Micro Brewery
TomCat Brewing Company,Raleigh,North Carolina,35.809712,-78.618223,7ZSgjU,Micro Brewery
Satulah Mountain Brewing Company,Highlands,North Carolina,35.0538964,-83.1954328,CxfQef,Brewpub
Quick Trigger Brewing Company,Ahoskie,North Carolina,36.286113,-76.986475,V8Zeed,Micro Brewery
Bessemer City Brewing,Bessemer City,North Carolina,35.284149,-81.286603,Q727rZ,Micro Brewery
G2B Restaurant & Brewery,Durham,North Carolina,35.9647948,-78.9547817,BEJlt3,Brewpub
Angry Troll Brewing,Elkin,North Carolina,36.2443351,-80.8487633,wJS1Me,Micro Brewery
Sycamore Brewing,Charlotte,North Carolina,35.208721,-80.862753,2Qkw10,Micro Brewery
Hugger Mugger Brewing Company,Sanford,North Carolina,35.478711,-79.178678,bJgHxR,Micro Brewery
Bill's Front Porch,Wilmington,North Carolina,34.2423157,-77.8923775,M5k56w,Micro Brewery
Hams Brewhouse,Greenville,North Carolina,35.608278,-77.3731619,GohZ7B,Micro Brewery
217 Brew Works,Wilson,North Carolina,35.7229467,-77.9121525,ajBhPo,Micro Brewery
Seaboard Taproom & Wine Bar,Matthews,North Carolina,35.1175931,-80.7213451,D2uVZF,Micro Brewery
Salty Turtle Beer Co.,Surf City,North Carolina,34.4433834,-77.5608801,RbLIUa,Micro Brewery
Newgrass Brewing Co.,Shelby,North Carolina,35.290221,-81.539978,j3eQCh,Micro Brewery
Lenny Boy Brewing Co.,Charlotte,North Carolina,35.201444,-80.873595,MOM2Mw,Micro Brewery
Kind Beer Distributing,Charlotte,North Carolina,35.265226,-80.759962,UOIwZb,Office
Lake Norman Brewing Company,Mooresville,North Carolina,35.6244756,-80.8034742,TBOcTV,Micro Brewery
Old North State Winery & Brewery,Mount Airy,North Carolina,36.501921,-80.608282,gv1egz,Micro Brewery
Neuse River Brewing Company,Raleigh,North Carolina,35.8041774,-78.6328332,Ym0fEg,Micro Brewery
Other Side of the Moon Brewery,Clemmons,North Carolina,36.0745756,-80.3906366,pZGs5j,Micro Brewery
Compass Rose Brewery,Raleigh,North Carolina,35.883935,-78.582712,nPSHXY,Micro Brewery
GBrewhouse,Peletier,North Carolina,34.7293,-77.075003,5V7Qcw,Micro Brewery
Preyer Brewing Company,Greensboro,North Carolina,36.079488,-79.793932,ZRW59q,Micro Brewery
Cabarrus Brewing Company,Concord,North Carolina,35.4158214,-80.6058123,hu5Jgx,Micro Brewery
Starpoint Brewing,Carrboro,North Carolina,35.873854,-79.08368,2nQ997,Nano Brewery
Bull City Ciderworks,Durham,North Carolina,35.9909566,-78.8993013,IjjCkQ,Cidery
Jolly Roger Brew,Mooresville,North Carolina,35.5860756,-80.8657128,NUoApN,Micro Brewery
Haw River Farmhouse Ales,Saxapahaw,North Carolina,35.946722,-79.319075,RzRrsp,Micro Brewery
Bad Bishop Brewing,Mebane,North Carolina,36.1012119,-79.269674,YrFk9G,Micro Brewery
Bark Brewing Company,Greensboro,North Carolina,36.0617081,-79.8438328,HM5BbV,Micro Brewery
Bombshell Beer Company,Holly Springs,North Carolina,35.6582889,-78.8367829,JLf9YB,Micro Brewery
Thirty Three Brewing Co.,Mooresville,North Carolina,35.5902215,-80.792242,BAyYIh,Micro Brewery
Koi Brewing Co,Rocky Mount,North Carolina,35.938012,-77.804379,CIdnUD,Micro Brewery
Yellow Sun Brewing Co,Rutherfordton,North Carolina,35.36662,-81.958449,PoQAbZ,Micro Brewery
American Honor Beer Company,SE Hickory,North Carolina,35.735392,-81.3258422,8nYps3,Micro Brewery
Twenty-Six Acres Brewing Company,Concord,North Carolina,35.388337,-80.723158,288yl0,Micro Brewery
Turgua Brewing Co,Fairview,North Carolina,35.5269891,-82.364124,BNc6fk,Micro Brewery
