index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
1359,46zcjJ,Y,Pennycup Coffee Porter,Robust Porter,7,40,25,gFcmBC
1360,46zcjJ,Y,Pilz,German-Style Pilsener,4.5,40,25,2c4xDu
1361,46zcjJ,Y,Porter,Robust Porter,6.1,40,25,nydKv2
1362,46zcjJ,Y,Riot Spray,American-Style Pale Ale,5.2,42,30,itGnmu
1363,46zcjJ,Y,Rye-It Spray,American-Style Pale Ale,5.2,42,30,af0jQ1
1364,46zcjJ,Y,Saison Sec,French & Belgian-Style Saison,5,40,20,3vty1l
1365,46zcjJ,Y,Sans Sextant,American-Style India Pale Ale,7.2,70,50,M1Z779
1366,46zcjJ,Y,Short Coxe White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5,17,10,PTmdtf
1367,46zcjJ,Y,Slide Life,American-Style Lager,11.7,13,5,BeuWlb
1368,46zcjJ,Y,Soft Light,American-Style India Pale Ale,5.4,70,50,F783Y7
1369,46zcjJ,Y,Tap-Shackled,British-Style Imperial Stout,11,65,45,5Fiypc
1370,46zcjJ,Y,Tap-Shackled w/ Yemen Coffee & Vanilla Bean,British-Style Imperial Stout,11,65,45,pISLit
1371,46zcjJ,Y,Terms of Endearment,French & Belgian-Style Saison,6.7,40,20,l1fJlZ
1372,46zcjJ,Y,There's a whale in the percolator,German-Style Doppelbock,8,27,17,skfsVP
1373,46zcjJ,Y,Top-Heavy,American-Style Imperial Stout,12.3,80,50,O9xd5o
1374,46zcjJ,Y,Tulpa Dipa,American-Style India Pale Ale,8,70,50,x1SuSj
1375,46zcjJ,Y,Vibration Theory,American-Style India Pale Ale,6.6,70,50,iO1I9r
1376,46zcjJ,Y,Volksfest Lager,German-Style Märzen,5.5,25,18,XCnCdV
1377,46zcjJ,Y,Weissbier,South German-Style Hefeweizen / Hefeweissbier,4.9,15,10,Sw0AgB
1378,46zcjJ,Y,Who's Annie?,American-Style India Pale Ale,6.7,70,50,AqL1an
1379,46zcjJ,Y,Wilcsek (Will-Check),American-Style India Pale Ale,7.4,70,50,z9rQRO
